"","Date","Loop","Metadata file","GPSx","GPSy","Latitude","Longitude","Animal species","% Cover","% Leaf","% Green","% Seeds","% Forbs","Average Height","SD Height","CV Height","Average Hits/Pin","Average Leaves/Pin","Sp. Diversity","Filename","Habitat","NDVI","GrassNDVI"
"1","6/7/21","Section A, Loop 1","DSCN2749",261226,52202,0.469251593,36.85550015,"PZ",0.777777778,0.619047619,0.533333333,0.035714286,0.2,11.07407407,20.81221152,1.879363582,38.47619048,3.714285714,NA,NA,"LB",0.334202289581299,0.322618599952495
"2","6/7/21","Section A, Loop 1","DSCN2751",260934,52279,0.46994693,36.85287757,"GZ",0.888888889,0.661157025,0.56,0.024793388,0.193333333,10.25925926,10.92489251,1.064881219,35.58333333,2.424242424,NA,NA,"MB",0.3817278444767,0.705204631876072
"3","6/7/21","Section A, Loop 1","DSCN2752",258112,52097,0.46829357,36.82753472,"Ungrazed",0.964285714,0.67,0.537313433,0.02,0.004975124,16.67857143,12.01558732,0.720420653,49.48148148,3.045454545,NA,NA,"LB",0.373742461204529,0.401698943198955
"4","6/7/21","Loop 2","DSCN2740",261919,52943,0.475952892,36.86172175,"GZ",0.846153846,0.805194805,0.525641026,0,0.012820513,6.230769231,4.632992055,0.743566626,21.81818182,1.722222222,NA,NA,"LB",0.336617410182953,0.327448841155803
"5","6/7/21","Loop 2","DSCN2741",260446,55059,0.49507928,36.84848704,"Ungrazed",0.961538462,0.833333333,0.4609375,0.031746032,0.015625,11.5,6.008327554,0.522463266,34.16,2.763157895,NA,NA,"LB",0.338734984397888,0.331683989585673
"6","6/7/21","Loop 2","DSCN2742",260604,55684,0.500730317,36.84990416,"Ungrazed",0.92,0.839506173,0.505882353,0.012345679,0.047058824,6.8,5.361902647,0.788515095,22.17391304,2.266666667,NA,NA,"LB",0.318798452615738,0.291810926021373
"7","6/7/21","Loop 2","DSCN2743",260987,55549,0.499510933,36.85334418,"PZ_GZ",0.846153846,0.8,0.506849315,0,0.04109589,6.346153846,5.176425853,0.815679225,21.63636364,1.806451613,NA,NA,"OG",0.280812650918961,0.273593392219945
"8","6/10/21","Loop 2","DSCN6460",261744,52572,0.472598197,36.86015115,"PZ",1,0.724137931,0.54109589,0.006896552,0.006849315,18.70833333,12.13861666,0.648834744,49.58333333,2.916666667,NA,NA,"MB",0.330275237560272,0.190678562711792
"9","6/10/21","Loop 2","DSCN6461",261023,55190,0.496265344,36.85366855,"PZ_GZ",0.68,0.846153846,0.615384615,0,0,6.24,6.404946005,1.026433655,24.47058824,1.833333333,NA,NA,"LB",0.297092288732529,0.248398598254955
"10","6/10/21","Loop 2","DSCN6462",260207,55936,0.503007437,36.84633806,"GZ",0.833333333,0.797101449,0.507246377,0.028985507,0,7.416666667,5.315413736,0.716684998,24.7,1.896551724,NA,NA,"OG",0.349086493253708,0.349453217036331
